undefined	[object Window]	undefined	
globalThis	[object Window]	Window	[object Window]
Boolean	[object Window]	Function	function Boolean() {\n    [native code]\n}
Date	[object Window]	Function	function Date() {\n    [native code]\n}
Math	[object Window]	Object	[object Math]
Number	[object Window]	Function	function Number() {\n    [native code]\n}
String	[object Window]	Function	function String() {\n    [native code]\n}
RegExp	[object Window]	Function	function RegExp() {\n    [native code]\n}
Error	[object Window]	Function	function Error() {\n    [native code]\n}
InternalError	[object Window]	Function	function InternalError() {\n    [native code]\n}
EvalError	[object Window]	Function	function EvalError() {\n    [native code]\n}
RangeError	[object Window]	Function	function RangeError() {\n    [native code]\n}
ReferenceError	[object Window]	Function	function ReferenceError() {\n    [native code]\n}
SyntaxError	[object Window]	Function	function SyntaxError() {\n    [native code]\n}
TypeError	[object Window]	Function	function TypeError() {\n    [native code]\n}
URIError	[object Window]	Function	function URIError() {\n    [native code]\n}
ArrayBuffer	[object Window]	Function	function ArrayBuffer() {\n    [native code]\n}
Int8Array	[object Window]	Function	function Int8Array() {\n    [native code]\n}
Uint8Array	[object Window]	Function	function Uint8Array() {\n    [native code]\n}
Int16Array	[object Window]	Function	function Int16Array() {\n    [native code]\n}
Uint16Array	[object Window]	Function	function Uint16Array() {\n    [native code]\n}
Int32Array	[object Window]	Function	function Int32Array() {\n    [native code]\n}
Uint32Array	[object Window]	Function	function Uint32Array() {\n    [native code]\n}
Float32Array	[object Window]	Function	function Float32Array() {\n    [native code]\n}
Float64Array	[object Window]	Function	function Float64Array() {\n    [native code]\n}
Uint8ClampedArray	[object Window]	Function	function Uint8ClampedArray() {\n    [native code]\n}
BigInt64Array	[object Window]	Function	function BigInt64Array() {\n    [native code]\n}
BigUint64Array	[object Window]	Function	function BigUint64Array() {\n    [native code]\n}
BigInt	[object Window]	Function	function BigInt() {\n    [native code]\n}
Proxy	[object Window]	Function	function Proxy() {\n    [native code]\n}
WeakMap	[object Window]	Function	function WeakMap() {\n    [native code]\n}
Map	[object Window]	Function	function Map() {\n    [native code]\n}
DataView	[object Window]	Function	function DataView() {\n    [native code]\n}
Symbol	[object Window]	Function	function Symbol() {\n    [native code]\n}
Intl	[object Window]	Object	[object Object]
Reflect	[object Window]	Object	[object Object]
WeakSet	[object Window]	Function	function WeakSet() {\n    [native code]\n}
Atomics	[object Window]	Object	[object Atomics]
ReadableStream	[object Window]	Function	function ReadableStream() {\n    [native code]\n}
ByteLengthQueuingStrategy	[object Window]	Function	function ByteLengthQueuingStrategy() {\n    [native code]\n}
CountQueuingStrategy	[object Window]	Function	function CountQueuingStrategy() {\n    [native code]\n}
WebAssembly	[object Window]	Object	[object Object]
NaN	[object Window]	Number	NaN
Infinity	[object Window]	Number	Infinity
isNaN	[object Window]	Function	function isNaN() {\n    [native code]\n}
isFinite	[object Window]	Function	function isFinite() {\n    [native code]\n}
parseFloat	[object Window]	Function	function parseFloat() {\n    [native code]\n}
parseInt	[object Window]	Function	function parseInt() {\n    [native code]\n}
escape	[object Window]	Function	function escape() {\n    [native code]\n}
unescape	[object Window]	Function	function unescape() {\n    [native code]\n}
decodeURI	[object Window]	Function	function decodeURI() {\n    [native code]\n}
encodeURI	[object Window]	Function	function encodeURI() {\n    [native code]\n}
decodeURIComponent	[object Window]	Function	function decodeURIComponent() {\n    [native code]\n}
encodeURIComponent	[object Window]	Function	function encodeURIComponent() {\n    [native code]\n}
DOMRectList	[object Window]	Function	function DOMRectList() {\n    [native code]\n}
AudioParamMap	[object Window]	Function	function AudioParamMap() {\n    [native code]\n}
DOMException	[object Window]	Function	function DOMException() {\n    [native code]\n}
CanvasGradient	[object Window]	Function	function CanvasGradient() {\n    [native code]\n}
WebGLRenderbuffer	[object Window]	Function	function WebGLRenderbuffer() {\n    [native code]\n}
ErrorEvent	[object Window]	Function	function ErrorEvent() {\n    [native code]\n}
HTMLButtonElement	[object Window]	Function	function HTMLButtonElement() {\n    [native code]\n}
AbortController	[object Window]	Function	function AbortController() {\n    [native code]\n}
ClipboardEvent	[object Window]	Function	function ClipboardEvent() {\n    [native code]\n}
HTMLTableCaptionElement	[object Window]	Function	function HTMLTableCaptionElement() {\n    [native code]\n}
HTMLBRElement	[object Window]	Function	function HTMLBRElement() {\n    [native code]\n}
Headers	[object Window]	Function	function Headers() {\n    [native code]\n}
SpeechSynthesisUtterance	[object Window]	Function	function SpeechSynthesisUtterance() {\n    [native code]\n}
HTMLLegendElement	[object Window]	Function	function HTMLLegendElement() {\n    [native code]\n}
HTMLTableElement	[object Window]	Function	function HTMLTableElement() {\n    [native code]\n}
DataTransferItem	[object Window]	Function	function DataTransferItem() {\n    [native code]\n}
MutationEvent	[object Window]	Function	function MutationEvent() {\n    [native code]\n}
CryptoKey	[object Window]	Function	function CryptoKey() {\n    [native code]\n}
SubmitEvent	[object Window]	Function	function SubmitEvent() {\n    [native code]\n}
DOMParser	[object Window]	Function	function DOMParser() {\n    [native code]\n}
SVGFEImageElement	[object Window]	Function	function SVGFEImageElement() {\n    [native code]\n}
CSSMediaRule	[object Window]	Function	function CSSMediaRule() {\n    [native code]\n}
WebGLBuffer	[object Window]	Function	function WebGLBuffer() {\n    [native code]\n}
IntersectionObserverEntry	[object Window]	Function	function IntersectionObserverEntry() {\n    [native code]\n}
IDBMutableFile	[object Window]	Function	function IDBMutableFile() {\n    [native code]\n}
HashChangeEvent	[object Window]	Function	function HashChangeEvent() {\n    [native code]\n}
HTMLLabelElement	[object Window]	Function	function HTMLLabelElement() {\n    [native code]\n}
HTMLOutputElement	[object Window]	Function	function HTMLOutputElement() {\n    [native code]\n}
U2F	[object Window]	Function	function U2F() {\n    [native code]\n}
XPathExpression	[object Window]	Function	function XPathExpression() {\n    [native code]\n}
CDATASection	[object Window]	Function	function CDATASection() {\n    [native code]\n}
WebGLActiveInfo	[object Window]	Function	function WebGLActiveInfo() {\n    [native code]\n}
CanvasCaptureMediaStream	[object Window]	Function	function CanvasCaptureMediaStream() {\n    [native code]\n}
DOMRect	[object Window]	Function	function DOMRect() {\n    [native code]\n}
Comment	[object Window]	Function	function Comment() {\n    [native code]\n}
SVGFEComponentTransferElement	[object Window]	Function	function SVGFEComponentTransferElement() {\n    [native code]\n}
HTMLSelectElement	[object Window]	Function	function HTMLSelectElement() {\n    [native code]\n}
CanvasPattern	[object Window]	Function	function CanvasPattern() {\n    [native code]\n}
History	[object Window]	Function	function History() {\n    [native code]\n}
SVGPolygonElement	[object Window]	Function	function SVGPolygonElement() {\n    [native code]\n}
TextTrackCueList	[object Window]	Function	function TextTrackCueList() {\n    [native code]\n}
DOMImplementation	[object Window]	Function	function DOMImplementation() {\n    [native code]\n}
FileSystemDirectoryReader	[object Window]	Function	function FileSystemDirectoryReader() {\n    [native code]\n}
HTMLAnchorElement	[object Window]	Function	function HTMLAnchorElement() {\n    [native code]\n}
AudioScheduledSourceNode	[object Window]	Function	function AudioScheduledSourceNode() {\n    [native code]\n}
WebGLTexture	[object Window]	Function	function WebGLTexture() {\n    [native code]\n}
SVGNumberList	[object Window]	Function	function SVGNumberList() {\n    [native code]\n}
HTMLEmbedElement	[object Window]	Function	function HTMLEmbedElement() {\n    [native code]\n}
MutationRecord	[object Window]	Function	function MutationRecord() {\n    [native code]\n}
HTMLFrameElement	[object Window]	Function	function HTMLFrameElement() {\n    [native code]\n}
Selection	[object Window]	Function	function Selection() {\n    [native code]\n}
HTMLCanvasElement	[object Window]	Function	function HTMLCanvasElement() {\n    [native code]\n}
SVGSymbolElement	[object Window]	Function	function SVGSymbolElement() {\n    [native code]\n}
SVGRadialGradientElement	[object Window]	Function	function SVGRadialGradientElement() {\n    [native code]\n}
SVGNumber	[object Window]	Function	function SVGNumber() {\n    [native code]\n}
SVGCircleElement	[object Window]	Function	function SVGCircleElement() {\n    [native code]\n}
MediaError	[object Window]	Function	function MediaError() {\n    [native code]\n}
DataTransfer	[object Window]	Function	function DataTransfer() {\n    [native code]\n}
PerformanceMark	[object Window]	Function	function PerformanceMark() {\n    [native code]\n}
TextTrackCue	[object Window]	Function	function TextTrackCue() {\n    [native code]\n}
SVGTextElement	[object Window]	Function	function SVGTextElement() {\n    [native code]\n}
PerformanceObserver	[object Window]	Function	function PerformanceObserver() {\n    [native code]\n}
IDBIndex	[object Window]	Function	function IDBIndex() {\n    [native code]\n}
HTMLSourceElement	[object Window]	Function	function HTMLSourceElement() {\n    [native code]\n}
SVGLineElement	[object Window]	Function	function SVGLineElement() {\n    [native code]\n}
HTMLFrameSetElement	[object Window]	Function	function HTMLFrameSetElement() {\n    [native code]\n}
SVGStyleElement	[object Window]	Function	function SVGStyleElement() {\n    [native code]\n}
MediaQueryList	[object Window]	Function	function MediaQueryList() {\n    [native code]\n}
SVGFilterElement	[object Window]	Function	function SVGFilterElement() {\n    [native code]\n}
ImageBitmapRenderingContext	[object Window]	Function	function ImageBitmapRenderingContext() {\n    [native code]\n}
DocumentFragment	[object Window]	Function	function DocumentFragment() {\n    [native code]\n}
HTMLTemplateElement	[object Window]	Function	function HTMLTemplateElement() {\n    [native code]\n}
DocumentTimeline	[object Window]	Function	function DocumentTimeline() {\n    [native code]\n}
TransitionEvent	[object Window]	Function	function TransitionEvent() {\n    [native code]\n}
Screen	[object Window]	Function	function Screen() {\n    [native code]\n}
SVGUnitTypes	[object Window]	Function	function SVGUnitTypes() {\n    [native code]\n}
SVGLengthList	[object Window]	Function	function SVGLengthList() {\n    [native code]\n}
SVGGeometryElement	[object Window]	Function	function SVGGeometryElement() {\n    [native code]\n}
HTMLImageElement	[object Window]	Function	function HTMLImageElement() {\n    [native code]\n}
MediaKeySession	[object Window]	Function	function MediaKeySession() {\n    [native code]\n}
ProgressEvent	[object Window]	Function	function ProgressEvent() {\n    [native code]\n}
CSSKeyframesRule	[object Window]	Function	function CSSKeyframesRule() {\n    [native code]\n}
HTMLMenuElement	[object Window]	Function	function HTMLMenuElement() {\n    [native code]\n}
Text	[object Window]	Function	function Text() {\n    [native code]\n}
Plugin	[object Window]	Function	function Plugin() {\n    [native code]\n}
Notification	[object Window]	Function	function Notification() {\n    [native code]\n}
AbstractRange	[object Window]	Function	function AbstractRange() {\n    [native code]\n}
MediaCapabilitiesInfo	[object Window]	Function	function MediaCapabilitiesInfo() {\n    [native code]\n}
DOMTokenList	[object Window]	Function	function DOMTokenList() {\n    [native code]\n}
SVGTextPositioningElement	[object Window]	Function	function SVGTextPositioningElement() {\n    [native code]\n}
SVGForeignObjectElement	[object Window]	Function	function SVGForeignObjectElement() {\n    [native code]\n}
MediaKeyError	[object Window]	Function	function MediaKeyError() {\n    [native code]\n}
MediaRecorderErrorEvent	[object Window]	Function	function MediaRecorderErrorEvent() {\n    [native code]\n}
HTMLTimeElement	[object Window]	Function	function HTMLTimeElement() {\n    [native code]\n}
SVGAnimatedLength	[object Window]	Function	function SVGAnimatedLength() {\n    [native code]\n}
IDBFileRequest	[object Window]	Function	function IDBFileRequest() {\n    [native code]\n}
HTMLDetailsElement	[object Window]	Function	function HTMLDetailsElement() {\n    [native code]\n}
CSSStyleRule	[object Window]	Function	function CSSStyleRule() {\n    [native code]\n}
SVGUseElement	[object Window]	Function	function SVGUseElement() {\n    [native code]\n}
PerformanceEntry	[object Window]	Function	function PerformanceEntry() {\n    [native code]\n}
SVGFEFloodElement	[object Window]	Function	function SVGFEFloodElement() {\n    [native code]\n}
HTMLProgressElement	[object Window]	Function	function HTMLProgressElement() {\n    [native code]\n}
SVGFEDisplacementMapElement	[object Window]	Function	function SVGFEDisplacementMapElement() {\n    [native code]\n}
CSS	[object Window]	Object	[object Object]
Clipboard	[object Window]	Function	function Clipboard() {\n    [native code]\n}
ValidityState	[object Window]	Function	function ValidityState() {\n    [native code]\n}
Permissions	[object Window]	Function	function Permissions() {\n    [native code]\n}
XMLSerializer	[object Window]	Function	function XMLSerializer() {\n    [native code]\n}
MessageChannel	[object Window]	Function	function MessageChannel() {\n    [native code]\n}
SVGAElement	[object Window]	Function	function SVGAElement() {\n    [native code]\n}
HTMLBodyElement	[object Window]	Function	function HTMLBodyElement() {\n    [native code]\n}
Response	[object Window]	Function	function Response() {\n    [native code]\n}
SVGAnimatedTransformList	[object Window]	Function	function SVGAnimatedTransformList() {\n    [native code]\n}
Audio	[object Window]	Function	function Audio() {\n    [native code]\n}
HTMLFormElement	[object Window]	Function	function HTMLFormElement() {\n    [native code]\n}
AbortSignal	[object Window]	Function	function AbortSignal() {\n    [native code]\n}
TreeWalker	[object Window]	Function	function TreeWalker() {\n    [native code]\n}
HTMLDataListElement	[object Window]	Function	function HTMLDataListElement() {\n    [native code]\n}
SVGFEConvolveMatrixElement	[object Window]	Function	function SVGFEConvolveMatrixElement() {\n    [native code]\n}
SVGAngle	[object Window]	Function	function SVGAngle() {\n    [native code]\n}
MediaList	[object Window]	Function	function MediaList() {\n    [native code]\n}
SpeechSynthesisVoice	[object Window]	Function	function SpeechSynthesisVoice() {\n    [native code]\n}
AnimationEvent	[object Window]	Function	function AnimationEvent() {\n    [native code]\n}
HTMLTableColElement	[object Window]	Function	function HTMLTableColElement() {\n    [native code]\n}
SVGComponentTransferFunctionElement	[object Window]	Function	function SVGComponentTransferFunctionElement() {\n    [native code]\n}
CaretPosition	[object Window]	Function	function CaretPosition() {\n    [native code]\n}
CSSCounterStyleRule	[object Window]	Function	function CSSCounterStyleRule() {\n    [native code]\n}
GeolocationCoordinates	[object Window]	Function	function GeolocationCoordinates() {\n    [native code]\n}
IDBCursor	[object Window]	Function	function IDBCursor() {\n    [native code]\n}
SVGDefsElement	[object Window]	Function	function SVGDefsElement() {\n    [native code]\n}
DOMStringMap	[object Window]	Function	function DOMStringMap() {\n    [native code]\n}
NodeFilter	[object Window]	Function	function NodeFilter() {\n    [native code]\n}
HTMLTableSectionElement	[object Window]	Function	function HTMLTableSectionElement() {\n    [native code]\n}
Request	[object Window]	Function	function Request() {\n    [native code]\n}
VTTRegion	[object Window]	Function	function VTTRegion() {\n    [native code]\n}
SVGSwitchElement	[object Window]	Function	function SVGSwitchElement() {\n    [native code]\n}
WebGLShader	[object Window]	Function	function WebGLShader() {\n    [native code]\n}
MediaKeys	[object Window]	Function	function MediaKeys() {\n    [native code]\n}
XSLTProcessor	[object Window]	Function	function XSLTProcessor() {\n    [native code]\n}
FileSystemFileEntry	[object Window]	Function	function FileSystemFileEntry() {\n    [native code]\n}
ProcessingInstruction	[object Window]	Function	function ProcessingInstruction() {\n    [native code]\n}
GeolocationPositionError	[object Window]	Function	function GeolocationPositionError() {\n    [native code]\n}
ScrollAreaEvent	[object Window]	Function	function ScrollAreaEvent() {\n    [native code]\n}
HTMLDirectoryElement	[object Window]	Function	function HTMLDirectoryElement() {\n    [native code]\n}
SVGFETileElement	[object Window]	Function	function SVGFETileElement() {\n    [native code]\n}
SVGTextContentElement	[object Window]	Function	function SVGTextContentElement() {\n    [native code]\n}
SVGMarkerElement	[object Window]	Function	function SVGMarkerElement() {\n    [native code]\n}
HTMLHeadingElement	[object Window]	Function	function HTMLHeadingElement() {\n    [native code]\n}
GamepadButton	[object Window]	Function	function GamepadButton() {\n    [native code]\n}
SVGFEMergeElement	[object Window]	Function	function SVGFEMergeElement() {\n    [native code]\n}
IDBOpenDBRequest	[object Window]	Function	function IDBOpenDBRequest() {\n    [native code]\n}
SVGGElement	[object Window]	Function	function SVGGElement() {\n    [native code]\n}
SVGFECompositeElement	[object Window]	Function	function SVGFECompositeElement() {\n    [native code]\n}
SVGAnimatedInteger	[object Window]	Function	function SVGAnimatedInteger() {\n    [native code]\n}
PopupBlockedEvent	[object Window]	Function	function PopupBlockedEvent() {\n    [native code]\n}
IdleDeadline	[object Window]	Function	function IdleDeadline() {\n    [native code]\n}
CSSFontFeatureValuesRule	[object Window]	Function	function CSSFontFeatureValuesRule() {\n    [native code]\n}
HTMLSlotElement	[object Window]	Function	function HTMLSlotElement() {\n    [native code]\n}
HTMLFieldSetElement	[object Window]	Function	function HTMLFieldSetElement() {\n    [native code]\n}
ImageData	[object Window]	Function	function ImageData() {\n    [native code]\n}
MediaStreamTrack	[object Window]	Function	function MediaStreamTrack() {\n    [native code]\n}
SharedWorker	[object Window]	Function	function SharedWorker() {\n    [native code]\n}
SVGFEFuncBElement	[object Window]	Function	function SVGFEFuncBElement() {\n    [native code]\n}
PerformanceServerTiming	[object Window]	Function	function PerformanceServerTiming() {\n    [native code]\n}
Image	[object Window]	Function	function Image() {\n    [native code]\n}
IDBTransaction	[object Window]	Function	function IDBTransaction() {\n    [native code]\n}
SVGAnimatedNumberList	[object Window]	Function	function SVGAnimatedNumberList() {\n    [native code]\n}
SVGGraphicsElement	[object Window]	Function	function SVGGraphicsElement() {\n    [native code]\n}
SVGFESpecularLightingElement	[object Window]	Function	function SVGFESpecularLightingElement() {\n    [native code]\n}
Gamepad	[object Window]	Function	function Gamepad() {\n    [native code]\n}
ImageBitmap	[object Window]	Function	function ImageBitmap() {\n    [native code]\n}
SVGTitleElement	[object Window]	Function	function SVGTitleElement() {\n    [native code]\n}
Cache	[object Window]	Function	function Cache() {\n    [native code]\n}
CompositionEvent	[object Window]	Function	function CompositionEvent() {\n    [native code]\n}
HTMLFormControlsCollection	[object Window]	Function	function HTMLFormControlsCollection() {\n    [native code]\n}
DataTransferItemList	[object Window]	Function	function DataTransferItemList() {\n    [native code]\n}
HTMLMarqueeElement	[object Window]	Function	function HTMLMarqueeElement() {\n    [native code]\n}
PaintRequest	[object Window]	Function	function PaintRequest() {\n    [native code]\n}
HTMLAreaElement	[object Window]	Function	function HTMLAreaElement() {\n    [native code]\n}
XMLHttpRequestUpload	[object Window]	Function	function XMLHttpRequestUpload() {\n    [native code]\n}
StyleSheetList	[object Window]	Function	function StyleSheetList() {\n    [native code]\n}
KeyboardEvent	[object Window]	Function	function KeyboardEvent() {\n    [native code]\n}
WheelEvent	[object Window]	Function	function WheelEvent() {\n    [native code]\n}
EventSource	[object Window]	Function	function EventSource() {\n    [native code]\n}
HTMLFontElement	[object Window]	Function	function HTMLFontElement() {\n    [native code]\n}
XMLDocument	[object Window]	Function	function XMLDocument() {\n    [native code]\n}
SVGAnimatedString	[object Window]	Function	function SVGAnimatedString() {\n    [native code]\n}
CSSImportRule	[object Window]	Function	function CSSImportRule() {\n    [native code]\n}
HTMLOptionElement	[object Window]	Function	function HTMLOptionElement() {\n    [native code]\n}
PerformanceResourceTiming	[object Window]	Function	function PerformanceResourceTiming() {\n    [native code]\n}
GeolocationPosition	[object Window]	Function	function GeolocationPosition() {\n    [native code]\n}
SVGPolylineElement	[object Window]	Function	function SVGPolylineElement() {\n    [native code]\n}
SVGFEFuncRElement	[object Window]	Function	function SVGFEFuncRElement() {\n    [native code]\n}
AnimationEffect	[object Window]	Function	function AnimationEffect() {\n    [native code]\n}
SVGFETurbulenceElement	[object Window]	Function	function SVGFETurbulenceElement() {\n    [native code]\n}
TextTrackList	[object Window]	Function	function TextTrackList() {\n    [native code]\n}
HTMLAudioElement	[object Window]	Function	function HTMLAudioElement() {\n    [native code]\n}
KeyEvent	[object Window]	Function	function KeyEvent() {\n    [native code]\n}
WebGLFramebuffer	[object Window]	Function	function WebGLFramebuffer() {\n    [native code]\n}
CSS2Properties	[object Window]	Function	function CSS2Properties() {\n    [native code]\n}
Directory	[object Window]	Function	function Directory() {\n    [native code]\n}
HTMLDListElement	[object Window]	Function	function HTMLDListElement() {\n    [native code]\n}
ResizeObserver	[object Window]	Function	function ResizeObserver() {\n    [native code]\n}
MediaRecorder	[object Window]	Function	function MediaRecorder() {\n    [native code]\n}
PageTransitionEvent	[object Window]	Function	function PageTransitionEvent() {\n    [native code]\n}
SVGMatrix	[object Window]	Function	function SVGMatrix() {\n    [native code]\n}
FileReader	[object Window]	Function	function FileReader() {\n    [native code]\n}
HTMLBaseElement	[object Window]	Function	function HTMLBaseElement() {\n    [native code]\n}
SVGTransform	[object Window]	Function	function SVGTransform() {\n    [native code]\n}
CSSAnimation	[object Window]	Function	function CSSAnimation() {\n    [native code]\n}
TextDecoder	[object Window]	Function	function TextDecoder() {\n    [native code]\n}
HTMLMeterElement	[object Window]	Function	function HTMLMeterElement() {\n    [native code]\n}
SVGStopElement	[object Window]	Function	function SVGStopElement() {\n    [native code]\n}
PerformanceObserverEntryList	[object Window]	Function	function PerformanceObserverEntryList() {\n    [native code]\n}
MediaEncryptedEvent	[object Window]	Function	function MediaEncryptedEvent() {\n    [native code]\n}
ShadowRoot	[object Window]	Function	function ShadowRoot() {\n    [native code]\n}
IDBFactory	[object Window]	Function	function IDBFactory() {\n    [native code]\n}
HTMLOListElement	[object Window]	Function	function HTMLOListElement() {\n    [native code]\n}
SVGAnimateMotionElement	[object Window]	Function	function SVGAnimateMotionElement() {\n    [native code]\n}
GamepadPose	[object Window]	Function	function GamepadPose() {\n    [native code]\n}
BaseAudioContext	[object Window]	Function	function BaseAudioContext() {\n    [native code]\n}
SVGAnimatedEnumeration	[object Window]	Function	function SVGAnimatedEnumeration() {\n    [native code]\n}
Animation	[object Window]	Function	function Animation() {\n    [native code]\n}
FileSystemDirectoryEntry	[object Window]	Function	function FileSystemDirectoryEntry() {\n    [native code]\n}
SVGFEOffsetElement	[object Window]	Function	function SVGFEOffsetElement() {\n    [native code]\n}
CacheStorage	[object Window]	Function	function CacheStorage() {\n    [native code]\n}
SVGPointList	[object Window]	Function	function SVGPointList() {\n    [native code]\n}
HTMLIFrameElement	[object Window]	Function	function HTMLIFrameElement() {\n    [native code]\n}
HTMLLIElement	[object Window]	Function	function HTMLLIElement() {\n    [native code]\n}
IntersectionObserver	[object Window]	Function	function IntersectionObserver() {\n    [native code]\n}
DeviceMotionEvent	[object Window]	Function	function DeviceMotionEvent() {\n    [native code]\n}
SVGElement	[object Window]	Function	function SVGElement() {\n    [native code]\n}
SVGFEDiffuseLightingElement	[object Window]	Function	function SVGFEDiffuseLightingElement() {\n    [native code]\n}
IDBFileHandle	[object Window]	Function	function IDBFileHandle() {\n    [native code]\n}
HTMLDivElement	[object Window]	Function	function HTMLDivElement() {\n    [native code]\n}
CustomEvent	[object Window]	Function	function CustomEvent() {\n    [native code]\n}
SVGFEMergeNodeElement	[object Window]	Function	function SVGFEMergeNodeElement() {\n    [native code]\n}
VTTCue	[object Window]	Function	function VTTCue() {\n    [native code]\n}
SVGTSpanElement	[object Window]	Function	function SVGTSpanElement() {\n    [native code]\n}
DOMStringList	[object Window]	Function	function DOMStringList() {\n    [native code]\n}
HTMLParagraphElement	[object Window]	Function	function HTMLParagraphElement() {\n    [native code]\n}
TextTrack	[object Window]	Function	function TextTrack() {\n    [native code]\n}
MediaCapabilities	[object Window]	Function	function MediaCapabilities() {\n    [native code]\n}
TimeRanges	[object Window]	Function	function TimeRanges() {\n    [native code]\n}
BeforeUnloadEvent	[object Window]	Function	function BeforeUnloadEvent() {\n    [native code]\n}
FileList	[object Window]	Function	function FileList() {\n    [native code]\n}
StaticRange	[object Window]	Function	function StaticRange() {\n    [native code]\n}
SVGDescElement	[object Window]	Function	function SVGDescElement() {\n    [native code]\n}
SVGMaskElement	[object Window]	Function	function SVGMaskElement() {\n    [native code]\n}
SVGFEColorMatrixElement	[object Window]	Function	function SVGFEColorMatrixElement() {\n    [native code]\n}
KeyframeEffect	[object Window]	Function	function KeyframeEffect() {\n    [native code]\n}
SVGLinearGradientElement	[object Window]	Function	function SVGLinearGradientElement() {\n    [native code]\n}
UIEvent	[object Window]	Function	function UIEvent() {\n    [native code]\n}
DragEvent	[object Window]	Function	function DragEvent() {\n    [native code]\n}
IDBCursorWithValue	[object Window]	Function	function IDBCursorWithValue() {\n    [native code]\n}
Storage	[object Window]	Function	function Storage() {\n    [native code]\n}
HTMLLinkElement	[object Window]	Function	function HTMLLinkElement() {\n    [native code]\n}
SVGStringList	[object Window]	Function	function SVGStringList() {\n    [native code]\n}
IDBObjectStore	[object Window]	Function	function IDBObjectStore() {\n    [native code]\n}
TrackEvent	[object Window]	Function	function TrackEvent() {\n    [native code]\n}
WebGLShaderPrecisionFormat	[object Window]	Function	function WebGLShaderPrecisionFormat() {\n    [native code]\n}
CSSTransition	[object Window]	Function	function CSSTransition() {\n    [native code]\n}
SVGRect	[object Window]	Function	function SVGRect() {\n    [native code]\n}
HTMLQuoteElement	[object Window]	Function	function HTMLQuoteElement() {\n    [native code]\n}
SpeechSynthesis	[object Window]	Function	function SpeechSynthesis() {\n    [native code]\n}
