Infinity	[object Window]	Number	Infinity
window	[object Window]	Window	[object Window]
NaN	[object Window]	Number	NaN
undefined	[object Window]	undefined=09
document	[object Window]	HTMLDocument	[object HTMLDocument]
self	[object Window]	Window	[object Window]
name	[object Window]	String=09
location	[object Window]	Location	file:///home/m/projects/browserSurface/sources/globals.html
history	[object Window]	History	[object History]
locationbar	[object Window]	BarProp	[object BarProp]
menubar	[object Window]	BarProp	[object BarProp]
personalbar	[object Window]	BarProp	[object BarProp]
scrollbars	[object Window]	BarProp	[object BarProp]
statusbar	[object Window]	BarProp	[object BarProp]
toolbar	[object Window]	BarProp	[object BarProp]
status	[object Window]	String=09
closed	[object Window]	Boolean	false
frames	[object Window]	Window	[object Window]
length	[object Window]	Number	0
top	[object Window]	Window	[object Window]
opener	[object Window]	object=09
parent	[object Window]	Window	[object Window]
frameElement	[object Window]	object=09
navigator	[object Window]	Navigator	[object Navigator]
applicationCache	[object Window]	ApplicationCache	[object ApplicationCache]
sessionStorage	[object Window]	Storage	[object Storage]
localStorage	[object Window]	Storage	[object Storage]
screen	[object Window]	Screen	[object Screen]
innerHeight	[object Window]	Number	562
innerWidth	[object Window]	Number	800
scrollX	[object Window]	Number	0
pageXOffset	[object Window]	Number	0
scrollY	[object Window]	Number	0
pageYOffset	[object Window]	Number	0
screenX	[object Window]	Number	0
screenY	[object Window]	Number	27
outerWidth	[object Window]	Number	800
outerHeight	[object Window]	Number	600
devicePixelRatio	[object Window]	Number	2
event	[object Window]	undefined=09
defaultStatus	[object Window]	String=09
defaultstatus	[object Window]	String=09
offscreenBuffering	[object Window]	Boolean	true
screenLeft	[object Window]	Number	0
screenTop	[object Window]	Number	27
clientInformation	[object Window]	Navigator	[object Navigator]
styleMedia	[object Window]	Object	[object StyleMedia]
onwebkitanimationend	[object Window]	object=09
onwebkitanimationiteration	[object Window]	object=09
onwebkitanimationstart	[object Window]	object=09
onwebkittransitionend	[object Window]	object=09
indexedDB	[object Window]	IDBFactory	[object IDBFactory]
webkitIndexedDB	[object Window]	IDBFactory	[object IDBFactory]
openDatabase	[object Window]	Object	[object Function]
onabort	[object Window]	object=09
onblur	[object Window]	object=09
oncanplay	[object Window]	object=09
oncanplaythrough	[object Window]	object=09
onchange	[object Window]	object=09
onclick	[object Window]	object=09
oncontextmenu	[object Window]	object=09
oncuechange	[object Window]	object=09
ondblclick	[object Window]	object=09
ondrag	[object Window]	object=09
ondragend	[object Window]	object=09
ondragenter	[object Window]	object=09
ondragleave	[object Window]	object=09
ondragover	[object Window]	object=09
ondragstart	[object Window]	object=09
ondrop	[object Window]	object=09
ondurationchange	[object Window]	object=09
onemptied	[object Window]	object=09
onended	[object Window]	object=09
onerror	[object Window]	object=09
onfocus	[object Window]	object=09
oninput	[object Window]	object=09
oninvalid	[object Window]	object=09
onkeydown	[object Window]	object=09
onkeypress	[object Window]	object=09
onkeyup	[object Window]	object=09
onload	[object Window]	object=09
onloadeddata	[object Window]	object=09
onloadedmetadata	[object Window]	object=09
onloadstart	[object Window]	object=09
onmousedown	[object Window]	object=09
onmouseenter	[object Window]	object=09
onmouseleave	[object Window]	object=09
onmousemove	[object Window]	object=09
onmouseout	[object Window]	object=09
onmouseover	[object Window]	object=09
onmouseup	[object Window]	object=09
onmousewheel	[object Window]	object=09
onpause	[object Window]	object=09
onplay	[object Window]	object=09
onplaying	[object Window]	object=09
onprogress	[object Window]	object=09
onratechange	[object Window]	object=09
onrejectionhandled	[object Window]	object=09
onreset	[object Window]	object=09
onresize	[object Window]	object=09
onscroll	[object Window]	object=09
onseeked	[object Window]	object=09
onseeking	[object Window]	object=09
onselect	[object Window]	object=09
onstalled	[object Window]	object=09
onsubmit	[object Window]	object=09
onsuspend	[object Window]	object=09
ontimeupdate	[object Window]	object=09
ontoggle	[object Window]	object=09
onunhandledrejection	[object Window]	object=09
onvolumechange	[object Window]	object=09
onwaiting	[object Window]	object=09
ontransitionend	[object Window]	object=09
ontransitionrun	[object Window]	object=09
ontransitionstart	[object Window]	object=09
ontransitioncancel	[object Window]	object=09
onanimationend	[object Window]	object=09
onanimationiteration	[object Window]	object=09
onanimationstart	[object Window]	object=09
onanimationcancel	[object Window]	object=09
ongotpointercapture	[object Window]	object=09
onlostpointercapture	[object Window]	object=09
onpointerdown	[object Window]	object=09
onpointermove	[object Window]	object=09
onpointerup	[object Window]	object=09
onpointercancel	[object Window]	object=09
onpointerover	[object Window]	object=09
onpointerout	[object Window]	object=09
onpointerenter	[object Window]	object=09
onpointerleave	[object Window]	object=09
onsearch	[object Window]	object=09
onwheel	[object Window]	object=09
onwebkitmouseforcechanged	[object Window]	object=09
onwebkitmouseforcedown	[object Window]	object=09
onwebkitmouseforcewillbegin	[object Window]	object=09
onwebkitmouseforceup	[object Window]	object=09
crypto	[object Window]	Crypto	[object Crypto]
performance	[object Window]	Performance	[object Performance]
onafterprint	[object Window]	object=09
onbeforeprint	[object Window]	object=09
onbeforeunload	[object Window]	object=09
onhashchange	[object Window]	object=09
onlanguagechange	[object Window]	object=09
onmessage	[object Window]	object=09
onoffline	[object Window]	object=09
ononline	[object Window]	object=09
onpagehide	[object Window]	object=09
onpageshow	[object Window]	object=09
onpopstate	[object Window]	object=09
onstorage	[object Window]	object=09
onunload	[object Window]	object=09
origin	[object Window]	String	null
Geolocation	[object Window]	Function	function Geolocation() {\n    [native code]\n}
GeolocationCoordinates	[object Window]	Function	function GeolocationCoordinates() {\n    [native code]\n}
GeolocationPosition	[object Window]	Function	function GeolocationPosition() {\n    [native code]\n}
GeolocationPositionError	[object Window]	Function	function GeolocationPositionError() {\n    [native code]\n}
IDBCursor	[object Window]	Function	function IDBCursor() {\n    [native code]\n}
IDBCursorWithValue	[object Window]	Function	function IDBCursorWithValue() {\n    [native code]\n}
IDBDatabase	[object Window]	Function	function IDBDatabase() {\n    [native code]\n}
IDBFactory	[object Window]	Function	function IDBFactory() {\n    [native code]\n}
IDBIndex	[object Window]	Function	function IDBIndex() {\n    [native code]\n}
IDBKeyRange	[object Window]	Function	function IDBKeyRange() {\n    [native code]\n}
IDBObjectStore	[object Window]	Function	function IDBObjectStore() {\n    [native code]\n}
IDBOpenDBRequest	[object Window]	Function	function IDBOpenDBRequest() {\n    [native code]\n}
IDBRequest	[object Window]	Function	function IDBRequest() {\n    [native code]\n}
IDBTransaction	[object Window]	Function	function IDBTransaction() {\n    [native code]\n}
IDBVersionChangeEvent	[object Window]	Function	function IDBVersionChangeEvent() {\n    [native code]\n}
SourceBuffer	[object Window]	Function	function SourceBuffer() {\n    [native code]\n}
SourceBufferList	[object Window]	Function	function SourceBufferList() {\n    [native code]\n}
Notification	[object Window]	Function	function Notification() {\n    [native code]\n}
ByteLengthQueuingStrategy	[object Window]	Function	function ByteLengthQueuingStrategy() {\n    [native code]\n}
CountQueuingStrategy	[object Window]	Function	function CountQueuingStrategy() {\n    [native code]\n}
ReadableStream	[object Window]	Function	function ReadableStream() {\n    [native code]\n}
AnalyserNode	[object Window]	Function	function AnalyserNode() {\n    [native code]\n}
AudioBuffer	[object Window]	Function	function AudioBuffer() {\n    [native code]\n}
AudioDestinationNode	[object Window]	Function	function AudioDestinationNode() {\n    [native code]\n}
AudioNode	[object Window]	Function	function AudioNode() {\n    [native code]\n}
AudioParam	[object Window]	Function	function AudioParam() {\n    [native code]\n}
AudioProcessingEvent	[object Window]	Function	function AudioProcessingEvent() {\n    [native code]\n}
AudioScheduledSourceNode	[object Window]	Function	function AudioScheduledSourceNode() {\n    [native code]\n}
BiquadFilterNode	[object Window]	Function	function BiquadFilterNode() {\n    [native code]\n}
ChannelMergerNode	[object Window]	Function	function ChannelMergerNode() {\n    [native code]\n}
ChannelSplitterNode	[object Window]	Function	function ChannelSplitterNode() {\n    [native code]\n}
ConvolverNode	[object Window]	Function	function ConvolverNode() {\n    [native code]\n}
DelayNode	[object Window]	Function	function DelayNode() {\n    [native code]\n}
DynamicsCompressorNode	[object Window]	Function	function DynamicsCompressorNode() {\n    [native code]\n}
GainNode	[object Window]	Function	function GainNode() {\n    [native code]\n}
MediaElementAudioSourceNode	[object Window]	Function	function MediaElementAudioSourceNode() {\n    [native code]\n}
OfflineAudioCompletionEvent	[object Window]	Function	function OfflineAudioCompletionEvent() {\n    [native code]\n}
PeriodicWave	[object Window]	Function	function PeriodicWave() {\n    [native code]\n}
ScriptProcessorNode	[object Window]	Function	function ScriptProcessorNode() {\n    [native code]\n}
WaveShaperNode	[object Window]	Function	function WaveShaperNode() {\n    [native code]\n}
SQLTransaction	[object Window]	Function	function SQLTransaction() {\n    [native code]\n}
CloseEvent	[object Window]	Function	function CloseEvent() {\n    [native code]\n}
CryptoKey	[object Window]	Function	function CryptoKey() {\n    [native code]\n}
SubtleCrypto	[object Window]	Function	function SubtleCrypto() {\n    [native code]\n}
CSSFontFaceRule	[object Window]	Function	function CSSFontFaceRule() {\n    [native code]\n}
CSSImportRule	[object Window]	Function	function CSSImportRule() {\n    [native code]\n}
CSSKeyframeRule	[object Window]	Function	function CSSKeyframeRule() {\n    [native code]\n}
CSSKeyframesRule	[object Window]	Function	function CSSKeyframesRule() {\n    [native code]\n}
CSSMediaRule	[object Window]	Function	function CSSMediaRule() {\n    [native code]\n}
CSSNamespaceRule	[object Window]	Function	function CSSNamespaceRule() {\n    [native code]\n}
CSSPageRule	[object Window]	Function	function CSSPageRule() {\n    [native code]\n}
CSSRule	[object Window]	Function	function CSSRule() {\n    [native code]\n}
CSSRuleList	[object Window]	Function	function CSSRuleList() {\n    [native code]\n}
CSSStyleDeclaration	[object Window]	Function	function CSSStyleDeclaration() {\n    [native code]\n}
CSSStyleRule	[object Window]	Function	function CSSStyleRule() {\n    [native code]\n}
CSSStyleSheet	[object Window]	Function	function CSSStyleSheet() {\n    [native code]\n}
CSSSupportsRule	[object Window]	Function	function CSSSupportsRule() {\n    [native code]\n}
CSS	[object Window]	Function	function CSS() {\n    [native code]\n}
DOMMatrix	[object Window]	Function	function DOMMatrix() {\n    [native code]\n}
DOMMatrixReadOnly	[object Window]	Function	function DOMMatrixReadOnly() {\n    [native code]\n}
Counter	[object Window]	Function	function Counter() {\n    [native code]\n}
CSSPrimitiveValue	[object Window]	Function	function CSSPrimitiveValue() {\n    [native code]\n}
RGBColor	[object Window]	Function	function RGBColor() {\n    [native code]\n}
Rect	[object Window]	Function	function Rect() {\n    [native code]\n}
CSSValue	[object Window]	Function	function CSSValue() {\n    [native code]\n}
CSSValueList	[object Window]	Function	function CSSValueList() {\n    [native code]\n}
FontFace	[object Window]	Function	function FontFace() {\n    [native code]\n}
FontFaceSet	[object Window]	Function	function FontFaceSet() {\n    [native code]\n}
MediaList	[object Window]	Function	function MediaList() {\n    [native code]\n}
MediaQueryList	[object Window]	Function	function MediaQueryList() {\n    [native code]\n}
MediaQueryListEvent	[object Window]	Function	function MediaQueryListEvent() {\n    [native code]\n}
StyleSheet	[object Window]	Function	function StyleSheet() {\n    [native code]\n}
StyleSheetList	[object Window]	Function	function StyleSheetList() {\n    [native code]\n}
WebKitCSSMatrix	[object Window]	Function	function WebKitCSSMatrix() {\n    [native code]\n}
AbortController	[object Window]	Function	function AbortController() {\n    [native code]\n}
AbortSignal	[object Window]	Function	function AbortSignal() {\n    [native code]\n}
AnimationEvent	[object Window]	Function	function AnimationEvent() {\n    [native code]\n}
Attr	[object Window]	Function	function Attr() {\n    [native code]\n}
BeforeUnloadEvent	[object Window]	Function	function BeforeUnloadEvent() {\n    [native code]\n}
CDATASection	[object Window]	Function	function CDATASection() {\n    [native code]\n}
CharacterData	[object Window]	Function	function CharacterData() {\n    [native code]\n}
ClipboardEvent	[object Window]	Function	function ClipboardEvent() {\n    [native code]\n}
Comment	[object Window]	Function	function Comment() {\n    [native code]\n}
CompositionEvent	[object Window]	Function	function CompositionEvent() {\n    [native code]\n}
CustomEvent	[object Window]	Function	function CustomEvent() {\n    [native code]\n}
DOMException	[object Window]	Function	function DOMException() {\n    [native code]\n}
DOMImplementation	[object Window]	Function	function DOMImplementation() {\n    [native code]\n}
DOMPoint	[object Window]	Function	function DOMPoint() {\n    [native code]\n}
DOMPointReadOnly	[object Window]	Function	function DOMPointReadOnly() {\n    [native code]\n}
DOMQuad	[object Window]	Function	function DOMQuad() {\n    [native code]\n}
DOMRect	[object Window]	Function	function DOMRect() {\n    [native code]\n}
DOMRectList	[object Window]	Function	function DOMRectList() {\n    [native code]\n}
DOMRectReadOnly	[object Window]	Function	function DOMRectReadOnly() {\n    [native code]\n}
DOMStringList	[object Window]	Function	function DOMStringList() {\n    [native code]\n}
DOMStringMap	[object Window]	Function	function DOMStringMap() {\n    [native code]\n}
DataTransfer	[object Window]	Function	function DataTransfer() {\n    [native code]\n}
Document	[object Window]	Function	function Document() {\n    [native code]\n}
DocumentFragment	[object Window]	Function	function DocumentFragment() {\n    [native code]\n}
DocumentType	[object Window]	Function	function DocumentType() {\n    [native code]\n}
DragEvent	[object Window]	Function	function DragEvent() {\n    [native code]\n}
Element	[object Window]	Function	function Element() {\n    [native code]\n}
ErrorEvent	[object Window]	Function	function ErrorEvent() {\n    [native code]\n}
Event	[object Window]	Function	function Event() {\n    [native code]\n}
EventTarget	[object Window]	Function	function EventTarget() {\n    [native code]\n}
FocusEvent	[object Window]	Function	function FocusEvent() {\n    [native code]\n}
HashChangeEvent	[object Window]	Function	function HashChangeEvent() {\n    [native code]\n}
KeyboardEvent	[object Window]	Function	function KeyboardEvent() {\n    [native code]\n}
MessageChannel	[object Window]	Function	function MessageChannel() {\n    [native code]\n}
MessageEvent	[object Window]	Function	function MessageEvent() {\n    [native code]\n}
MessagePort	[object Window]	Function	function MessagePort() {\n    [native code]\n}
MouseEvent	[object Window]	Function	function MouseEvent() {\n    [native code]\n}
MutationEvent	[object Window]	Function	function MutationEvent() {\n    [native code]\n}
MutationObserver	[object Window]	Function	function MutationObserver() {\n    [native code]\n}
WebKitMutationObserver	[object Window]	Function	function MutationObserver() {\n    [native code]\n}
MutationRecord	[object Window]	Function	function MutationRecord() {\n    [native code]\n}
NamedNodeMap	[object Window]	Function	function NamedNodeMap() {\n    [native code]\n}
Node	[object Window]	Function	function Node() {\n    [native code]\n}
NodeFilter	[object Window]	Function	function NodeFilter() {\n    [native code]\n}
NodeIterator	[object Window]	Function	function NodeIterator() {\n    [native code]\n}
NodeList	[object Window]	Function	function NodeList() {\n    [native code]\n}
OverflowEvent	[object Window]	Function	function OverflowEvent() {\n    [native code]\n}
PageTransitionEvent	[object Window]	Function	function PageTransitionEvent() {\n    [native code]\n}
PopStateEvent	[object Window]	Function	function PopStateEvent() {\n    [native code]\n}
ProcessingInstruction	[object Window]	Function	function ProcessingInstruction() {\n    [native code]\n}
ProgressEvent	[object Window]	Function	function ProgressEvent() {\n    [native code]\n}
PromiseRejectionEvent	[object Window]	Function	function PromiseRejectionEvent() {\n    [native code]\n}
Range	[object Window]	Function	function Range() {\n    [native code]\n}
SecurityPolicyViolationEvent	[object Window]	Function	function SecurityPolicyViolationEvent() {\n    [native code]\n}
Text	[object Window]	Function	function Text() {\n    [native code]\n}
TextDecoder	[object Window]	Function	function TextDecoder() {\n    [native code]\n}
TextEncoder	[object Window]	Function	function TextEncoder() {\n    [native code]\n}
TextEvent	[object Window]	Function	function TextEvent() {\n    [native code]\n}
Touch	[object Window]	Function	function Touch() {\n    [native code]\n}
TouchEvent	[object Window]	Function	function TouchEvent() {\n    [native code]\n}
TouchList	[object Window]	Function	function TouchList() {\n    [native code]\n}
TransitionEvent	[object Window]	Function	function TransitionEvent() {\n    [native code]\n}
TreeWalker	[object Window]	Function	function TreeWalker() {\n    [native code]\n}
UIEvent	[object Window]	Function	function UIEvent() {\n    [native code]\n}
WebKitAnimationEvent	[object Window]	Function	function WebKitAnimationEvent() {\n    [native code]\n}
WebKitTransitionEvent	[object Window]	Function	function WebKitTransitionEvent() {\n    [native code]\n}
WheelEvent	[object Window]	Function	function WheelEvent() {\n    [native code]\n}
XMLDocument	[object Window]	Function	function XMLDocument() {\n    [native code]\n}
SVGDocument	[object Window]	Function	function XMLDocument() {\n    [native code]\n}
Blob	[object Window]	Function	function Blob() {\n    [native code]\n}
File	[object Window]	Function	function File() {\n    [native code]\n}
FileList	[object Window]	Function	function FileList() {\n    [native code]\n}
FileReader	[object Window]	Function	function FileReader() {\n    [native code]\n}
FormData	[object Window]	Function	function FormData() {\n    [native code]\n}
DOMTokenList	[object Window]	Function	function DOMTokenList() {\n    [native code]\n}
URL	[object Window]	Function	function URL() {\n    [native code]\n}
webkitURL	[object Window]	Function	function URL() {\n    [native code]\n}
HTMLAllCollection	[object Window]	Function	function HTMLAllCollection() {\n    [native code]\n}
HTMLAnchorElement	[object Window]	Function	function HTMLAnchorElement() {\n    [native code]\n}
HTMLAppletElement	[object Window]	Function	function HTMLAppletElement() {\n    [native code]\n}
HTMLAreaElement	[object Window]	Function	function HTMLAreaElement() {\n    [native code]\n}
HTMLAudioElement	[object Window]	Function	function HTMLAudioElement() {\n    [native code]\n}
Audio	[object Window]	Function	function Audio() {\n    [native code]\n}
HTMLBRElement	[object Window]	Function	function HTMLBRElement() {\n    [native code]\n}
HTMLBaseElement	[object Window]	Function	function HTMLBaseElement() {\n    [native code]\n}
HTMLBodyElement	[object Window]	Function	function HTMLBodyElement() {\n    [native code]\n}
HTMLButtonElement	[object Window]	Function	function HTMLButtonElement() {\n    [native code]\n}
HTMLCanvasElement	[object Window]	Function	function HTMLCanvasElement() {\n    [native code]\n}
HTMLCollection	[object Window]	Function	function HTMLCollection() {\n    [native code]\n}
HTMLDListElement	[object Window]	Function	function HTMLDListElement() {\n    [native code]\n}
HTMLDataElement	[object Window]	Function	function HTMLDataElement() {\n    [native code]\n}
HTMLDetailsElement	[object Window]	Function	function HTMLDetailsElement() {\n    [native code]\n}
HTMLDirectoryElement	[object Window]	Function	function HTMLDirectoryElement() {\n    [native code]\n}
HTMLDivElement	[object Window]	Function	function HTMLDivElement() {\n    [native code]\n}
HTMLDocument	[object Window]	Function	function HTMLDocument() {\n    [native code]\n}
HTMLElement	[object Window]	Function	function HTMLElement() {\n    [native code]\n}
HTMLEmbedElement	[object Window]	Function	function HTMLEmbedElement() {\n    [native code]\n}
HTMLFieldSetElement	[object Window]	Function	function HTMLFieldSetElement() {\n    [native code]\n}
HTMLFontElement	[object Window]	Function	function HTMLFontElement() {\n    [native code]\n}
HTMLFormControlsCollection	[object Window]	Function	function HTMLFormControlsCollection() {\n    [native code]\n}
HTMLFormElement	[object Window]	Function	function HTMLFormElement() {\n    [native code]\n}
HTMLFrameElement	[object Window]	Function	function HTMLFrameElement() {\n    [native code]\n}
HTMLFrameSetElement	[object Window]	Function	function HTMLFrameSetElement() {\n    [native code]\n}
HTMLHRElement	[object Window]	Function	function HTMLHRElement() {\n    [native code]\n}
HTMLHeadElement	[object Window]	Function	function HTMLHeadElement() {\n    [native code]\n}
HTMLHeadingElement	[object Window]	Function	function HTMLHeadingElement() {\n    [native code]\n}
HTMLHtmlElement	[object Window]	Function	function HTMLHtmlElement() {\n    [native code]\n}
HTMLIFrameElement	[object Window]	Function	function HTMLIFrameElement() {\n    [native code]\n}
HTMLImageElement	[object Window]	Function	function HTMLImageElement() {\n    [native code]\n}
Image	[object Window]	Function	function Image() {\n    [native code]\n}
HTMLInputElement	[object Window]	Function	function HTMLInputElement() {\n    [native code]\n}
HTMLLIElement	[object Window]	Function	function HTMLLIElement() {\n    [native code]\n}
HTMLLabelElement	[object Window]	Function	function HTMLLabelElement() {\n    [native code]\n}
HTMLLegendElement	[object Window]	Function	function HTMLLegendElement() {\n    [native code]\n}
HTMLLinkElement	[object Window]	Function	function HTMLLinkElement() {\n    [native code]\n}
HTMLMapElement	[object Window]	Function	function HTMLMapElement() {\n    [native code]\n}
HTMLMarqueeElement	[object Window]	Function	function HTMLMarqueeElement() {\n    [native code]\n}
HTMLMediaElement	[object Window]	Function	function HTMLMediaElement() {\n    [native code]\n}
HTMLMenuElement	[object Window]	Function	function HTMLMenuElement() {\n    [native code]\n}
HTMLMetaElement	[object Window]	Function	function HTMLMetaElement() {\n    [native code]\n}
HTMLMeterElement	[object Window]	Function	function HTMLMeterElement() {\n    [native code]\n}
HTMLModElement	[object Window]	Function	function HTMLModElement() {\n    [native code]\n}
HTMLOListElement	[object Window]	Function	function HTMLOListElement() {\n    [native code]\n}
HTMLObjectElement	[object Window]	Function	function HTMLObjectElement() {\n    [native code]\n}
HTMLOptGroupElement	[object Window]	Function	function HTMLOptGroupElement() {\n    [native code]\n}
HTMLOptionElement	[object Window]	Function	function HTMLOptionElement() {\n    [native code]\n}
Option	[object Window]	Function	function Option() {\n    [native code]\n}
HTMLOptionsCollection	[object Window]	Function	function HTMLOptionsCollection() {\n    [native code]\n}
HTMLOutputElement	[object Window]	Function	function HTMLOutputElement() {\n    [native code]\n}
HTMLParagraphElement	[object Window]	Function	function HTMLParagraphElement() {\n    [native code]\n}
HTMLParamElement	[object Window]	Function	function HTMLParamElement() {\n    [native code]\n}
HTMLPictureElement	[object Window]	Function	function HTMLPictureElement() {\n    [native code]\n}
HTMLPreElement	[object Window]	Function	function HTMLPreElement() {\n    [native code]\n}
HTMLProgressElement	[object Window]	Function	function HTMLProgressElement() {\n    [native code]\n}
HTMLQuoteElement	[object Window]	Function	function HTMLQuoteElement() {\n    [native code]\n}
HTMLScriptElement	[object Window]	Function	function HTMLScriptElement() {\n    [native code]\n}
HTMLSelectElement	[object Window]	Function	function HTMLSelectElement() {\n    [native code]\n}
HTMLSourceElement	[object Window]	Function	function HTMLSourceElement() {\n    [native code]\n}
HTMLSpanElement	[object Window]	Function	function HTMLSpanElement() {\n    [native code]\n}
HTMLStyleElement	[object Window]	Function	function HTMLStyleElement() {\n    [native code]\n}
HTMLTableCaptionElement	[object Window]	Function	function HTMLTableCaptionElement() {\n    [native code]\n}
HTMLTableCellElement	[object Window]	Function	function HTMLTableCellElement() {\n    [native code]\n}
HTMLTableColElement	[object Window]	Function	function HTMLTableColElement() {\n    [native code]\n}
HTMLTableElement	[object Window]	Function	function HTMLTableElement() {\n    [native code]\n}
HTMLTableRowElement	[object Window]	Function	function HTMLTableRowElement() {\n    [native code]\n}
HTMLTableSectionElement	[object Window]	Function	function HTMLTableSectionElement() {\n    [native code]\n}
HTMLTemplateElement	[object Window]	Function	function HTMLTemplateElement() {\n    [native code]\n}
HTMLTextAreaElement	[object Window]	Function	function HTMLTextAreaElement() {\n    [native code]\n}
HTMLTimeElement	[object Window]	Function	function HTMLTimeElement() {\n    [native code]\n}
HTMLTitleElement	[object Window]	Function	function HTMLTitleElement() {\n    [native code]\n}
HTMLTrackElement	[object Window]	Function	function HTMLTrackElement() {\n    [native code]\n}
HTMLUListElement	[object Window]	Function	function HTMLUListElement() {\n    [native code]\n}
HTMLUnknownElement	[object Window]	Function	function HTMLUnknownElement() {\n    [native code]\n}
HTMLVideoElement	[object Window]	Function	function HTMLVideoElement() {\n    [native code]\n}
ImageData	[object Window]	Function	function ImageData() {\n    [native code]\n}
MediaController	[object Window]	Function	function MediaController() {\n    [native code]\n}
MediaError	[object Window]	Function	function MediaError() {\n    [native code]\n}
RadioNodeList	[object Window]	Function	function RadioNodeList() {\n    [native code]\n}
TextMetrics	[object Window]	Function	function TextMetrics() {\n    [native code]\n}
TimeRanges	[object Window]	Function	function TimeRanges() {\n    [native code]\n}
URLSearchParams	[object Window]	Function	function URLSearchParams() {\n    [native code]\n}
ValidityState	[object Window]	Function	function ValidityState() {\n    [native code]\n}
CanvasGradient	[object Window]	Function	function CanvasGradient() {\n    [native code]\n}
CanvasPattern	[object Window]	Function	function CanvasPattern() {\n    [native code]\n}
CanvasRenderingContext2D	[object Window]	Function	function CanvasRenderingContext2D() {\n    [native code]\n}
Path2D	[object Window]	Function	function Path2D() {\n    [native code]\n}
WebGLActiveInfo	[object Window]	Function	function WebGLActiveInfo() {\n    [native code]\n}
WebGLBuffer	[object Window]	Function	function WebGLBuffer() {\n    [native code]\n}
WebGLContextEvent	[object Window]	Function	function WebGLContextEvent() {\n    [native code]\n}
WebGLFramebuffer	[object Window]	Function	function WebGLFramebuffer() {\n    [native code]\n}
WebGLProgram	[object Window]	Function	function WebGLProgram() {\n    [native code]\n}
WebGLQuery	[object Window]	Function	function WebGLQuery() {\n    [native code]\n}
WebGLRenderbuffer	[object Window]	Function	function WebGLRenderbuffer() {\n    [native code]\n}
WebGLRenderingContext	[object Window]	Function	function WebGLRenderingContext() {\n    [native code]\n}
WebGLSampler	[object Window]	Function	function WebGLSampler() {\n    [native code]\n}
WebGLShader	[object Window]	Function	function WebGLShader() {\n    [native code]\n}
WebGLShaderPrecisionFormat	[object Window]	Function	function WebGLShaderPrecisionFormat() {\n    [native code]\n}
WebGLSync	[object Window]	Function	function WebGLSync() {\n    [native code]\n}
WebGLTexture	[object Window]	Function	function WebGLTexture() {\n    [native code]\n}
WebGLUniformLocation	[object Window]	Function	function WebGLUniformLocation() {\n    [native code]\n}
AudioTrack	[object Window]	Function	function AudioTrack() {\n    [native code]\n}
AudioTrackList	[object Window]	Function	function AudioTrackList() {\n    [native code]\n}
DataCue	[object Window]	Function	function DataCue() {\n    [native code]\n}
TextTrack	[object Window]	Function	function TextTrack() {\n    [native code]\n}
TextTrackCue	[object Window]	Function	function TextTrackCue() {\n    [native code]\n}
